"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","212103903335024576_1","2025-10-21","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","189.0","189.0",
"DELIVERED","212150383299239424_1","2025-10-21","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","174.0","174.0",
"RTO_COMPLETE","212152258824112064_1","2025-10-21","Kerala","lowercase Waterproof Rain Cap for Men and Women (Navy Blue)","L-CAP-RAIN-MILITARY-NAVY","Free Size","1","177.0","177.0",
"CANCELLED","212272944094202240_1","2025-10-21","Puducherry","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212429900051881472_1","2025-10-22","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212432946233113088_1","2025-10-22","Karnataka","Lowercase Dryfit Lightweight Baseball Caps Men for Summer Season","Dryfit101","Free Size","1","292.0","292.0",
"DELIVERED","212459127717839488_1","2025-10-22","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212461069286326912_1","2025-10-22","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","189.0","189.0",
"CANCELLED","212519254921289216_1","2025-10-22","Tamil Nadu","lowercase Waterproof Rain Cap for Men and Women (Black)","L-CAP-RAIN-MILITARY-BLACK","Free Size","1","177.0","177.0",
"CANCELLED","212561884088977792_1","2025-10-22","Tamil Nadu","Lowercase Branded Monsoon Season Waterproof Rain Cap","Cap-Baseball-Rain-Black","Free Size","1","171.0","171.0",
"DELIVERED","212570621243638400_1","2025-10-22","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212579702188625344_1","2025-10-22","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","189.0","189.0",
"DELIVERED","212621221572091392_1","2025-10-22","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212826539518199744_1","2025-10-23","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212841898480633792_1","2025-10-23","Haryana","lowercase? Men & Women Printed Bamboo Bandana, Anti Microbial Super Soft & Comfort Fit, Multipurpose Headband, Face Mask for Dust Protection and Sun -Pack of 5","kEGoP8KC","Free Size","1","190.0","190.0",
"DELIVERED","212855585664900608_1","2025-10-23","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212906340677453760_1","2025-10-23","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","212988389505605120_1","2025-10-23","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"CANCELLED","213226739677034624_1","2025-10-24","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","213243700181549696_1","2025-10-24","Kerala","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","2","138.0","138.0",
"CANCELLED","213328034853321216_1","2025-10-24","Punjab","lowercase Waterproof Rain Cap for Men and Women (Navy Blue)","L-CAP-RAIN-MILITARY-NAVY","Free Size","1","177.0","177.0",
"DELIVERED","213338916167172736_1","2025-10-24","Kerala","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","138.0","138.0",
"DELIVERED","213485732389012096_1","2025-10-25","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","213614776438833792_1","2025-10-25","Maharashtra","lowercase NY Baseball Cap Fashionable for Men, Women, Boys and Girls?","zLyOWLNz","Free Size","1","234.0","234.0",
"DELIVERED","214206654705802752_1","2025-10-27","Uttarakhand","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","214242032897684800_1","2025-10-27","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","138.0","138.0",
"DELIVERED","214267617454720960_1","2025-10-27","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
